Site,Place,Latitude,Longitude,Year,Microplastic_Level,pH_Level,Temperature
Sampiruhan,Sampiruhan,14.4,121.1,2018,3859.666,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2502.012,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,3696.695,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1945.761,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,511.501,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,664.821,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,4031.1,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,471.299,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1933.273,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1517.551,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,444.674,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1048.408,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,619.752,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,627.036,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,442.336,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1558.801,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,650.495,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2665.307,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1508.027,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,980.217,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2328.973,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1378.263,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,788.539,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,343.96,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1118.628,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,4745.412,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1507.283,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2108.445,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2749.905,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,3760.15,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1976.694,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,4000.312,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1257.614,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2361.45,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1439.311,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,957.056,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1487.184,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1353.849,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,778.132,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,4053.89,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2097.282,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2142.417,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,691.849,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2034.506,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,740.178,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,555.379,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1360.538,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,634.438,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,575.207,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1781.402,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,4637.465,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1691.587,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1999.801,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,742.682,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,996.347,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1996.901,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1333.329,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1264.621,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,3145.223,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,970.019,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1136.348,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2015.749,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,3891.835,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,569.273,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2915.71,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,711.517,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1697.071,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,837.901,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,985.953,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,745.217,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,859.246,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2808.143,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1478.912,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,3218.444,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1415.71,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1030.307,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,649.776,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1218.271,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2072.765,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,4142.012,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1482.17,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2174.09,,
